n1|n2|prop
dbpedia.Biathlete|dbpedia.WinterSportPlayer|is-a
dbpedia.FigureSkater|dbpedia.WinterSportPlayer|is-a
dbpedia.NordicCombined|dbpedia.WinterSportPlayer|is-a
dbpedia.SpeedSkater|dbpedia.WinterSportPlayer|is-a
dbpedia.BobsleighAthlete|dbpedia.WinterSportPlayer|is-a
dbpedia.Skater|dbpedia.WinterSportPlayer|is-a
dbpedia.Curler|dbpedia.WinterSportPlayer|is-a
dbpedia.Skier|dbpedia.WinterSportPlayer|is-a
dbpedia.Ski_jumper|dbpedia.WinterSportPlayer|is-a
dbpedia.CrossCountrySkier|dbpedia.WinterSportPlayer|is-a
dbpedia.PublicTransitSystem|dbpedia.Organisation|is-a
dbpedia.EmployersOrganisation|dbpedia.Organisation|is-a
dbpedia.InternationalOrganisation|dbpedia.Organisation|is-a
dbpedia.PoliticalParty|dbpedia.Organisation|is-a
dbpedia.GovernmentAgency|dbpedia.Organisation|is-a
dbpedia.Parliament|dbpedia.Organisation|is-a
dbpedia.SambaSchool|dbpedia.Organisation|is-a
dbpedia.Legislature|dbpedia.Organisation|is-a
dbpedia.MilitaryUnit|dbpedia.Organisation|is-a
dbpedia.GeopoliticalOrganisation|dbpedia.Organisation|is-a
dbpedia.TermOfOffice|dbpedia.Organisation|is-a
dbpedia.TradeUnion|dbpedia.Organisation|is-a
dbpedia.FootballMatch|dbpedia.SportsEvent|is-a
dbpedia.InternationalFootballLeagueEvent|dbpedia.SportsEvent|is-a
dbpedia.NationalFootballLeagueEvent|dbpedia.SportsEvent|is-a
dbpedia.GrandPrix|dbpedia.SportsEvent|is-a
dbpedia.CyclingCompetition|dbpedia.SportsEvent|is-a
dbpedia.WrestlingEvent|dbpedia.SportsEvent|is-a
dbpedia.MixedMartialArtsEvent|dbpedia.SportsEvent|is-a
dbpedia.MouseGeneLocation|dbpedia.GeneLocation|is-a
dbpedia.HumanGeneLocation|dbpedia.GeneLocation|is-a
dbpedia.StatedResolution|dbpedia.WrittenWork|is-a
dbpedia.Law|dbpedia.WrittenWork|is-a
dbpedia.Poem|dbpedia.WrittenWork|is-a
dbpedia.Drama|dbpedia.WrittenWork|is-a
dbpedia.Play|dbpedia.WrittenWork|is-a
dbpedia.Article|dbpedia.WrittenWork|is-a
dbpedia.Quote|dbpedia.WrittenWork|is-a
dbpedia.MultiVolumePublication|dbpedia.WrittenWork|is-a
dbpedia.Resume|dbpedia.WrittenWork|is-a
dbpedia.Letter|dbpedia.WrittenWork|is-a
dbpedia.Vodka|dbpedia.Beverage|is-a
dbpedia.Beer|dbpedia.Beverage|is-a
dbpedia.Cheese|dbpedia.Food|is-a
