n1|n2|prop
snomed.SCTO_129380009|snomed.SCTO_129371009|is-a
snomed.SCTO_360038009|snomed.SCTO_129371009|is-a
snomed.SCTO_385660001|snomed.SCTO_288532009|is-a
snomed.SCTO_410536001|snomed.SCTO_288532009|is-a
snomed.SCTO_410512000|snomed.SCTO_410511007|is-a
snomed.SCTO_410513005|snomed.SCTO_410511007|is-a
snomed.SCTO_261665006|snomed.SCTO_410514004|is-a
snomed.SCTO_36692007|snomed.SCTO_410514004|is-a
snomed.SCTO_419385000|snomed.SCTO_419988009|is-a
snomed.SCTO_419652001|snomed.SCTO_419988009|is-a
snomed.SCTO_123035007|snomed.SCTO_7389001|is-a
snomed.SCTO_422133006|snomed.SCTO_7389001|is-a
